Pos,Nome,Categ,Swim,Bike,Run,Total
16,ARTHUR WERNECK,30-34,--:--:--,02:31:14,01:33:31,04:44:53
9,LEONARDO MOREIRA,45-49,00:30:33,02:35:22,01:33:36,04:44:59
17,PAULO PEREIRA,40-44,00:33:47,02:31:29,01:32:11,04:45:15
18,FERNANDO CESAR MENEZES ASSUNCAO,40-44,00:31:46,02:34:04,01:34:31,04:45:45
19,FERNANDO NUNES SIMÕES,40-44,00:33:46,02:29:24,01:38:06,04:46:10
21,FABRICIO OLIVEIRA,35-39,00:30:30,02:35:52,01:33:43,04:46:11
22,PEDRO MAIA,35-39,00:27:24,02:38:17,01:35:42,04:46:17
20,RAFAEL FARIA ANDRADE PINTO,40-44,00:35:18,02:35:35,01:31:29,04:46:47
23,ERIC SCHELLENBERG TAMMENHAIN,35-39,00:26:13,02:38:19,01:37:28,04:46:51
25,MURILO SANTOS FLORESTA,35-39,00:32:21,02:37:18,01:30:54,04:47:01
27,TIAGO FILIPPO,35-39,00:34:31,02:27:25,01:40:13,04:47:39
22,FELIPE MATOS,40-44,00:28:06,02:35:14,01:39:15,04:48:14
8,RODRIGO FEIX,25-29,00:26:10,02:36:22,01:40:53,04:48:34
28,JORGE GONZALES,35-39,00:28:37,02:31:16,01:42:32,04:48:36
10,RONALDO CESQUIM,45-49,00:30:04,02:30:30,01:40:47,04:48:58
11,GUILHERME TELLES,45-49,00:25:58,02:27:50,01:49:48,04:49:00
1,FLÁVIA MEYER,35-39,00:31:24,02:38:17,01:34:04,04:49:03
3,CAROLINA FURRIELA,PRO,00:29:19,02:47:02,01:29:10,04:49:14
29,FREDERICO ROCHA PEREIRA,35-39,00:30:53,02:33:30,01:40:29,04:49:46
17,RAFAEL BRIMANA COELHO DA SILVA,30-34,00:29:18,02:34:44,01:40:09,04:49:50
Pos,Nome,Categ,Swim,Bike,Run,Total
4,FABIO SAMPAIO GARCEZ RIBEIRO,18-24,00:30:58,02:36:20,01:37:23,04:49:55
30,LUIS FELIPE MAGON,35-39,00:27:30,02:33:17,01:43:26,04:50:07
31,EMMERSON CARDOSO,35-39,00:31:30,02:39:09,01:35:48,04:50:21
23,LUCIANO GOMES,40-44,00:36:13,02:33:11,01:35:49,04:50:36
18,THYAGO GOMES FERRAZ,30-34,00:30:41,02:29:42,01:45:27,04:50:41
19,GENESIO FERREIRA,30-34,00:34:57,02:37:40,01:33:01,04:50:47
20,PEDRO REIS,30-34,00:30:11,02:34:30,01:39:37,04:50:49
