Pos,Nome,Categ,Swim,Bike,Run,Total
30,IGOR AMORELLI,PRO,00:47:54,04:18:33,03:22:48,08:34:21
41,THIAGO VINHAL,PRO,00:50:32,04:56:53,02:59:15,08:52:56
18,MARCOS CALCIC,30-34,01:02:38,04:41:27,03:05:30,08:57:04
16,ALEXANDRE TAKENAKA,35-39,00:53:44,04:40:53,03:16:53,08:57:16
4,JOSE GRACA,40-44,00:58:43,04:36:27,03:17:15,08:58:58
24,JORGE DE AMORIM FILHO,35-39,00:54:58,04:33:38,03:28:11,09:03:38
29,ANTONIO FERREIRA DA SILVA NETO,35-39,00:54:59,04:40:28,03:26:02,09:06:41
37,HUGO AMARAL HORTA BARBOSA,30-34,00:51:46,04:45:31,03:26:28,09:10:21
36,SAMUEL SILVA,35-39,01:03:46,04:59:22,03:00:41,09:10:53
44,RODRIGO BODANESE,30-34,00:56:54,04:47:14,03:21:05,09:12:36
45,BRUNO MANZONI,30-34,01:07:09,04:39:34,03:19:11,09:13:43
56,BRUNO FARIA,30-34,01:04:15,04:48:10,03:17:44,09:18:49
53,THIAGO MENUCI,35-39,00:53:02,04:42:51,03:34:22,09:19:22
34,HENRIQUE NICCO,25-29,01:07:37,04:38:26,03:30:30,09:23:35
18,LEONARDO BRETTAS,45-49,01:03:36,04:45:19,03:27:49,09:24:11
23,PEDRO CERIZE,45-49,01:09:31,04:52:00,03:19:23,09:27:04
76,ANDRE DEROSSO TEIXEIRA,35-39,01:05:41,04:57:10,03:17:13,09:28:48
42,GUSTAVO ARAUJO SANTOS,25-29,00:55:44,04:50:24,03:37:43,09:30:37
61,DANIEL BARTELLE,40-44,01:09:43,04:44:42,03:33:57,09:36:59
105,BONIECK CLEMENTE,35-39,00:55:30,04:58:08,03:35:18,09:37:22
54,EDMILSON PEREIRA,25-29,00:53:13,04:48:12,03:51:16,09:38:47
74,GUSTAVO GENNARI,40-44,01:03:50,04:49:12,03:42:11,09:42:40
75,MARCOS FELIPE MENDES LOPES,40-44,01:00:39,04:48:53,03:44:28,09:42:41
117,JOAO ARTECHE,35-39,00:54:31,04:52:12,03:49:39,09:43:38
13,THOMAS CARVALHO,18-24,01:00:22,04:55:57,03:41:05,09:43:51
55,GUILHERME TAMEGA,45-49,01:02:36,04:51:26,03:43:31,09:45:06
122,ARIEL LENHARO,35-39,01:01:16,04:53:00,03:44:11,09:46:00
87,PAULO HENRIQUE MANZINI,40-44,01:04:10,04:49:40,03:46:09,09:46:30
122,GUSTAVO CEZAR,30-34,00:59:35,04:49:11,03:50:47,09:48:41
126,ARTHUR MARCONDES FERRAZ SILVA,35-39,00:53:42,04:33:53,04:14:39,09:48:45
Pos,Nome,Categ,Swim,Bike,Run,Total
102,TARIK COSTA,40-44,00:53:12,04:56:33,03:53:12,09:51:41
143,MIGUEL SANCHES NETO,35-39,01:03:45,05:06:26,03:38:26,09:56:33
7,MARIA CECILIA CARVALHO,25-29,01:03:31,05:04:52,03:44:24,09:59:35
6,CLAUDIA DUMONT,40-44,00:58:40,05:26:55,03:28:47,10:00:46
2,CARLA LACERDA,18-24,01:03:31,05:09:26,03:41:58,10:01:15
10,VANESSA GIANINNI,35-39,01:00:55,05:03:54,03:59:45,10:11:54
166,ALEX BRONHOLO,35-39,01:11:39,05:06:45,03:46:55,10:13:30
114,MARCELO ABDO,45-49,00:53:05,04:58:13,04:13:37,10:14:08
143,FABIANO PAES,45-49,01:09:15,05:04:06,04:00:47,10:22:03
144,FERNANDO LUCAS,45-49,01:03:39,05:09:34,03:59:05,10:22:19
23,ROSECLER OLIVEIRA AMORIM DA COSTA,40-44,01:08:12,05:15:26,03:58:09,10:28:06
183,MARCOS FARIA,35-39,00:53:44,05:02:00,04:25:59,10:29:09
21,GIUSEPPE MUSELLA,55-59,01:06:21,05:20:34,03:49:16,10:31:09
164,THIAGO ALVIM,30-34,00:59:04,04:41:46,04:51:17,10:40:04
36,LUCIANA HADDAD,35-39,01:16:00,05:47:15,03:40:13,10:48:45
198,MAURICIO ANTONELLI LEHOCZKI,45-49,01:11:19,05:46:32,03:40:24,10:51:39
216,AUGUSTO CESAR POCAS,45-49,01:11:52,05:11:54,04:39:19,11:12:35
33,ILKA CORDEIRO,45-49,01:08:02,05:51:40,04:01:57,11:14:56
95,RINCAWESKI GUSTAVO,25-29,01:05:56,05:19:42,04:46:44,11:21:59
225,JEFFERSON OISHI,40-44,01:11:17,05:57:45,04:10:57,11:28:33
53,CINTIA TOBAR,30-34,01:14:39,06:11:53,03:57:31,11:30:02
74,CLAUDIO SCHILLER THOMPSON FLORES,55-59,01:06:32,05:33:32,04:47:00,11:40:22
64,VANUSA ALBERTI,40-44,01:21:10,06:06:57,03:59:17,11:41:37
45,NATALLY COSTA,25-29,01:15:17,06:05:07,04:11:20,11:41:54
47,FLAVIA ROCHA,45-49,01:04:58,05:49:52,04:36:00,11:43:07
234,PEDRO BERREDO,40-44,01:01:39,05:01:45,05:35:26,11:48:38
87,CARLOS VIANA,55-59,01:11:29,05:59:49,04:37:46,12:05:05
4,DIOGO RATACHESKI,C,01:37:55,06:44:04,03:59:45,12:31:38
5,LUIZ RENATO MACHADO GOMES,70-74,01:14:54,06:07:24,05:15:32,12:51:50
59,MARILZA SALDANHA,50-54,01:20:05,06:31:35,05:35:00,13:41:02
