Pos,Nome,Pais,Swim,Bike,Run,Total
1,REINALDO COLUCCI,BRA,00:23:38,02:10:09,01:18:35,03:55:12
2,PAULO ROBERTO MACIEL DA SILVA,BRA,00:23:35,02:11:50,01:18:42,03:57:06
3,LUIZ FRANCISCO PAIVA FERREIRA,BRA,00:23:37,02:11:10,01:20:56,03:58:41
4,IURI VINUTO JOSINO,BRA,00:24:53,02:14:50,01:16:45,03:59:17
5,FELLIPE SANTOS,BRA,00:24:47,02:12:12,01:19:34,03:59:35
6,BRUNO PAIS,PRT,00:24:52,02:14:52,01:19:10,04:01:38
7,LUIS OHDE,BRA,00:24:56,02:17:01,01:18:45,04:03:40
8,GUILHERME MANOCCHIO,BRA,00:25:00,02:19:57,01:19:01,04:07:22
9,FLÁVIO QUEIROGA,BRA,00:24:48,02:14:51,01:26:41,04:09:17
10,BRUNO MATHEUS,BRA,00:24:58,02:26:30,01:16:45,04:10:56
11,HENRIQUE SIQUEIRA,BRA,00:24:51,02:12:23,01:36:34,04:16:49
12,ALMIR GUSTAVO SORBO MARTINS,BRA,00:23:15,02:16:22,01:35:50,04:18:38
13,JUAN MANUEL LAURO,URY,00:24:49,02:17:38,01:32:37,04:18:59
14,FELIPE MANENTE,BRA,00:28:07,02:23:22,01:27:08,04:20:18
15,DANILO MELO,BRA,00:34:30,02:24:56,01:21:19,04:24:28
16,ALAN LIMA,BRA,00:30:46,02:29:11,01:28:25,04:32:02
17,GUSTAVO PERREIRA,BRA,00:28:05,02:24:21,01:37:48,04:33:59
