Pos,Nome,Pais,Swim,Bike,Run,Total
1,ASTRID STIENEN,DEU,01:00:29,04:40:13,03:09:05,08:54:27
2,ELISABETH GRUBER,AUT,01:04:51,04:49:16,03:06:55,09:05:52
3,ANNAH WATKINSON,ZAF,00:58:28,04:42:46,03:25:06,09:12:13
4,PAMELLA TASTETS,CHL,00:58:31,04:54:53,03:19:27,09:20:16
5,LUCIE ZELENKOVA,CZE,00:55:21,05:04:09,03:21:32,09:26:17
6,MICHAELA RUDOLF,AUT,01:06:40,04:47:52,03:33:13,09:33:04
7,BRUNA MAHN,BRA,00:58:30,05:07:32,03:29:45,09:41:09
8,EVI NEUSCHELER,DEU,01:07:27,05:12:10,03:55:05,10:23:00
