Pos,Nome,Categ,Swim,Bike,Run,Total
1,PAULO ROBERTO MACIEL DA SILVA,PRO,00:24:19,02:12:00,01:15:17,03:54:59
2,FLAVIO QUEIROGA,PRO,00:24:16,02:13:55,01:14:50,03:56:10
3,LUIZ FRANCISCO PAIVA FERREIRA,PRO,00:23:21,02:09:44,01:20:28,03:56:48
4,LUIS OHDE,PRO,00:24:32,02:10:49,01:18:14,03:57:15
5,FERNANDO TOLDI,PRO,00:24:22,02:11:47,01:18:06,03:57:51
6,SANTIAGO ASCENCO,PRO,00:26:17,02:11:50,01:18:41,04:00:08
7,ALMIR GUSTAVO SORBO MARTINS,PRO,00:23:10,02:14:36,01:21:04,04:02:18
8,IURI VINUTO JOSINO,PRO,00:24:15,02:20:38,01:14:34,04:02:43
9,BRUNO JOAQUIM,PRO,00:24:16,02:11:59,01:22:54,04:03:00
10,EDIVANIO MONTEIRO SILVA,PRO,00:24:33,02:19:10,01:19:57,04:07:17
11,FRANK SILVESTRIN SOUZA,PRO,00:24:57,02:21:37,01:18:41,04:08:54
1,JOSÉ BELARMINO,40-44,00:26:46,02:16:44,01:21:39,04:09:17
13,BRUNO MATHEUS,PRO,00:24:20,02:23:45,01:27:33,04:19:00
1,GUILHERME PALMA,30-34,00:30:10,02:25:42,01:19:15,04:19:12
1,RAFAEL SILVA,35-39,00:29:55,02:25:12,01:22:42,04:22:31
2,PETER PICHNOFF,30-34,00:27:37,02:21:34,01:28:52,04:22:32
1,PAMELLA OLIVEIRA,PRO,00:25:16,02:26:56,01:27:37,04:23:49
3,MARCEL MONTEIRO MOROSINI,30-34,00:31:09,02:21:10,01:28:34,04:25:22
15,FABIO CARVALHO,PRO,00:24:34,02:13:20,01:44:09,04:25:40
4,THIAGO ALVIM,30-34,00:29:21,02:24:21,01:28:58,04:27:22
2,ADRIANO BASTOS,35-39,00:33:59,02:30:11,01:21:00,04:29:46
1,WILLIAM GRACA,18-24,00:31:35,02:23:35,01:30:53,04:30:58
3,FREDERICO ZACHARIAS,35-39,00:31:32,02:21:29,01:34:01,04:31:44
5,MARCOS CALCIC,30-34,00:31:57,02:28:17,01:26:47,04:32:35
3,MARIANA BORGES DE ANDRADE,PRO,00:30:15,02:29:57,01:28:53,04:32:46
6,DANIEL CUNHA,30-34,00:33:21,02:31:53,01:23:18,04:33:08
7,GABRIEL NOGUEIRA,30-34,00:30:59,02:28:25,01:29:41,04:33:13
4,LUIZA CRAVO,PRO,00:29:34,02:33:53,01:26:06,04:33:36
4,TIAGO LESSA,35-39,00:32:36,02:26:04,01:30:30,04:33:42
5,LEONARDO LOPES BRAZ,35-39,00:29:56,02:30:46,01:28:48,04:34:21
Pos,Nome,Categ,Swim,Bike,Run,Total
6,JONATHAN DA SILVA,35-39,00:37:35,02:25:01,01:25:54,04:34:34
7,RAPHAEL FALCAO,35-39,00:30:34,02:24:10,01:35:56,04:35:19
8,JOSELITO DOMINGUES,35-39,00:32:32,02:22:20,01:36:33,04:35:49
8,RAFAEL TRIUNFO DE MATOS,30-34,00:33:57,02:28:12,01:28:07,04:35:51
1,LUCAS TOLEDO,25-29,00:33:21,02:27:30,01:30:51,04:36:15
5,BEATRIZ NERES,PRO,00:29:37,02:36:07,01:26:33,04:36:28
9,JOAO MARCELLO NOVAES DO BAPTISTA,35-39,00:28:23,02:31:09,01:32:24,04:36:32
9,RICARDO MORAIS MACHADO,30-34,00:33:39,02:30:42,01:28:17,04:38:25
