Pos,Nome,Pais,Swim,Bike,Run,Total
1,DOMENICO PASSUELLO,ITA,00:52:25,04:32:16,02:55:52,08:25:54
2,FREDRIK CRONEBORG,SWE,00:50:35,04:42:57,02:49:48,08:28:37
3,PATRICK JABERG,USA,00:55:41,04:42:27,02:57:06,08:40:58
4,CAMERON BROWN,NZL,00:50:56,04:42:29,03:04:22,08:43:13
5,PATRICK JABERG,CHE,00:52:21,04:40:53,03:05:47,08:44:46
6,NICK BALDWIN,SYC,00:52:24,04:53:01,02:54:32,08:45:59
7,MAURO BAERTSCH,CHE,00:52:41,04:47:51,02:59:18,08:46:33
8,KAROL DŽALAJ,SVK,00:52:13,04:45:35,03:01:12,08:46:40
9,MIKE SCHIFFERLE,CHE,00:58:23,04:37:51,03:04:12,08:50:43
10,SAMUEL HUERZELER,CHE,00:52:05,04:56:15,03:05:16,09:00:29
11,ZSOMBOR DEAK,ROU,00:58:18,05:03:50,03:14:21,09:22:39
12,HENRIK OFTEDAL,NOR,00:57:53,05:01:04,03:26:00,09:31:35
13,ROD DE KANEL,FRA,00:50:35,05:06:02,04:07:20,10:12:45
14,DANIEL BROWN,AUS,01:02:00,05:26:48,03:59:06,10:34:43
15,JOSEF SVOBODA,CZE,01:14:27,05:39:00,04:18:25,11:20:25
