Pos,Nome,Pais,Swim,Bike,Run,Total
1,YVONNE VAN VLERKEN,NLD,00:55:44,04:41:17,03:05:01,08:46:18
2,LISA HUETTHALER,AUT,00:53:49,04:36:41,03:16:21,08:51:21
3,DANIELA SAEMMLER,DEU,00:52:25,04:37:56,03:20:11,08:55:11
4,KATJA KONSCHAK,DEU,00:52:11,04:54:40,03:03:27,08:57:12
5,KIMBERLEY MORRISON,GBR,00:52:28,04:37:22,03:37:17,09:12:49
6,EWA BUGDOL,POL,00:52:14,04:57:47,03:20:47,09:15:57
7,LILIA BARANOVSKA,UKR,00:57:33,04:55:24,03:30:14,09:29:28
8,MERCE TUSELL,ESP,01:06:03,05:02:20,03:15:03,09:29:57
9,KAMILA POLAK,AUT,00:58:54,04:58:21,03:33:59,09:37:59
10,OLGA KOWALSKA,POL,01:04:10,05:07:57,03:20:17,09:38:20
11,KATE COMBER,GBR,00:52:06,05:12:15,03:30:23,09:40:56
12,PALMIRA ALVAREZ,MEX,01:06:05,04:59:21,03:37:11,09:49:19
13,JULIE STEPHAN,FRA,00:55:42,05:16:33,03:41:24,10:01:00
14,JENNY NILSSON,SWE,01:05:00,05:15:02,03:58:00,10:24:03
15,EKATERINA ALEKSEEVA,RUS,01:23:54,05:49:46,03:16:18,10:37:07
16,RACHEL HALLAM,GBR,00:55:44,05:00:53,04:35:44,10:38:20
17,ANNABEL DIAWUOH,DEU,01:28:06,05:06:35,04:03:12,10:46:30
18,JESSICA AHLUND,SWE,00:58:57,05:23:20,04:38:10,11:09:04
