Pos,Nome,Categ,Swim,Bike,Run,Total
1,SANTIAGO ASCENCO,PRO,00:24:52,02:12:41,01:17:52,03:58:51
2,PAULO ROBERTO MACIEL DA SILVA,PRO,00:22:26,02:19:46,01:23:29,04:09:12
3,LUIZ FRANCISCO PAIVA FERREIRA,PRO,00:22:00,02:18:33,01:25:38,04:10:07
4,FERNANDO TOLDI,PRO,00:22:55,02:20:48,01:22:54,04:10:16
1,CID SANTOS,30-34,00:26:28,02:23:04,01:19:22,04:12:53
5,FELIPE MANENTE,PRO,00:25:49,02:20:14,01:23:15,04:12:59
1,DANILO MELO,18-24,00:29:05,02:21:15,01:19:50,04:13:58
1,EDUARDO GONZALEZ,35-39,00:24:06,02:29:11,01:24:19,04:21:48
2,DUDA BLEY,35-39,00:24:14,02:24:28,01:31:55,04:24:54
1,HUGO AMARAL HORTA BARBOSA,25-29,00:24:35,02:26:47,01:30:36,04:25:46
7,THIAGO VINHAL,PRO,00:24:11,02:34:13,01:24:00,04:26:34
1,VIRGILIO DE CASTILHO,40-44,00:26:21,02:28:37,01:27:38,04:27:41
2,MIGUEL MORONE NETO,30-34,00:29:11,02:32:15,01:25:52,04:30:53
3,FREDERICO ZACHARIAS,30-34,00:28:52,02:25:56,01:32:15,04:31:27
4,PETER PICHNOFF,30-34,00:26:30,02:27:59,01:33:17,04:31:47
5,ITALO RIZZO JÚNIOR,30-34,00:26:39,02:28:08,01:33:24,04:33:25
3,JOAO PAULO COSTA,35-39,00:27:29,02:29:50,01:32:19,04:33:33
4,THIAGO FERREIRA,35-39,00:24:09,02:26:48,01:38:06,04:33:50
2,RODRIGO BODANESE,25-29,00:28:33,02:30:34,01:33:29,04:37:19
6,TOBIAS SILVA,30-34,00:30:07,02:30:24,01:34:43,04:39:27
8,GUSTAVO PERREIRA,PRO,00:26:12,02:20:48,01:48:43,04:39:33
3,MARCELO BODANESE,25-29,00:27:41,02:32:15,01:35:26,04:39:58
1,MARIANA BORGES DE ANDRADE,PRO,00:28:20,02:32:08,01:36:56,04:40:34
4,GUILHERME PALMA,25-29,00:28:43,02:33:47,01:33:36,04:41:04
7,ANDERSON ROGENSKI,30-34,00:30:22,02:35:27,01:33:54,04:43:22
8,ISMAEL SILVERIO,30-34,00:32:30,02:33:35,01:34:24,04:45:09
2,CAROLINA FURRIELA,PRO,00:26:50,02:43:02,01:31:00,04:45:09
6,DANILO WADA SIMONE,35-39,00:31:01,02:36:14,01:33:06,04:45:26
7,RODRIGO FIGUEIREDO CANTAL,35-39,00:30:54,02:37:12,01:33:09,04:46:47
8,GUSTAVO GENNARI,35-39,00:33:42,02:35:15,01:33:24,04:47:28
Pos,Nome,Categ,Swim,Bike,Run,Total
2,RAFAEL PINA,40-44,00:30:27,02:33:36,01:38:23,04:48:06
3,EDUARDO JURCEVIC,40-44,00:28:39,02:37:23,01:36:21,04:48:08
1,ALEX PEDRA,45-49,00:27:29,02:28:37,01:47:29,04:48:18
4,TIAGO SOUSA,40-44,00:28:32,02:34:56,01:40:21,04:48:43
9,THIAGO ALVIM,30-34,00:29:13,02:33:01,01:41:35,04:49:09
9,MATEUS VIDIGAL,35-39,00:27:35,02:31:14,01:43:53,04:49:23
5,GENESIO FERREIRA,25-29,00:30:50,02:39:20,01:34:07,04:49:55
6,JEFFERSON REZENDE FAGUNDES,25-29,00:37:47,02:35:02,01:32:08,04:50:11
5,RENATO CARVALHO,40-44,00:29:12,02:35:53,01:38:20,04:50:49
6,ROBERTO PAPA NITRINI,40-44,00:28:59,02:35:23,01:40:22,04:50:52
10,DENIS CESAR BAPTISTA,30-34,00:33:14,02:33:39,01:40:34,04:51:39
2,LUCAS ROCHA,18-24,00:29:14,02:42:37,01:36:40,04:52:29
10,TULIO LAIA,35-39,00:33:42,02:40:36,01:31:05,04:53:04
11,BRENER BELOZI,30-34,00:29:11,02:35:52,01:43:05,04:53:07
11,JONE COSTA,35-39,00:29:24,02:35:02,01:43:26,04:53:08
2,FERNANDO GONZALEZ GIL,45-49,00:34:59,02:36:22,01:35:24,04:53:23
12,BRUNO BAHRI,30-34,00:30:31,02:36:05,01:41:44,04:53:38
7,EDUARDO CARVALHO,25-29,--:--:--,02:34:10,01:46:09,04:53:43
3,NICOLAS CAMPOS,18-24,00:29:59,02:40:05,01:38:31,04:53:44
13,GEUSENIR JUNIOR,30-34,00:30:31,02:39:25,01:38:24,04:54:05
1,ANA CRISTINA BOCCANERA,40-44,--:--:--,02:39:33,01:43:26,04:55:00
14,ALEXANDRE NEGRAO,30-34,00:29:33,02:37:21,01:42:39,04:55:15
15,MARCELLO CALDAS NETTO,30-34,00:25:59,02:42:29,01:42:10,04:55:22
12,RAPHAEL FALCAO,35-39,00:31:44,02:37:03,01:42:50,04:56:05
8,WILLIAM SOUZA,25-29,00:31:31,02:41:00,01:38:56,04:56:05
4,RENAN PAPARELI,18-24,00:34:13,02:36:49,01:40:12,04:56:13
4,BRUNA MAHN,PRO,00:28:10,02:44:52,01:40:12,04:56:42
13,RAFAEL RIBEIRO,35-39,00:29:56,02:35:19,01:47:29,04:56:59
16,CAIO FOCACCIA,30-34,00:28:46,02:38:10,01:45:34,04:57:27
14,CARLOS EMANUEL TAVARES,35-39,00:25:16,02:41:44,01:44:50,04:57:29
Pos,Nome,Categ,Swim,Bike,Run,Total
9,ALEXANDRE MOURA,PRO,00:32:24,02:39:51,01:40:10,04:57:36
15,DIOGO OCTÁVIO NEBIAS,35-39,00:32:10,02:40:18,01:39:31,04:57:39
17,PEDRO BERREDO,35-39,00:27:58,02:35:34,01:48:55,04:58:28
17,RENATO LUCAS,30-34,00:30:01,02:45:44,01:38:17,04:59:06
18,MARIO PEGADO,30-34,00:32:08,02:37:45,01:44:27,04:59:18
5,LUCAS PORFIRIO,18-24,00:33:33,02:40:17,01:41:07,04:59:47
19,RAFAEL BELLEI,30-34,00:29:37,02:38:12,01:47:48,04:59:57
18,RAPHAEL RITTER,35-39,00:38:35,02:23:38,01:48:53,05:00:38
7,LUCIANO GOMES,40-44,00:34:28,02:36:25,01:45:06,05:01:00
20,BRUNO ALVIM,30-34,00:30:37,02:36:18,01:49:20,05:01:21
19,EDSON MAISONNETTE,35-39,00:31:01,02:48:58,01:35:44,05:01:34
9,ANDRE MARTINS NOGUEIRA,25-29,00:34:09,02:46:00,01:32:30,05:01:40
4,WANDER GLOVINSKY,45-49,00:26:48,02:39:34,01:50:23,05:02:03
20,LUCIANO RAMOS,35-39,00:34:30,02:37:36,01:44:46,05:02:05
8,OTÁVIO ROMANO NETO,40-44,00:28:58,02:41:05,01:44:59,05:02:33
21,LAZARO NETO,35-39,00:32:45,02:39:19,01:44:49,05:02:47
22,EDERSON ANDREATTA,35-39,00:31:00,02:46:16,01:40:29,05:03:01
1,FRANCISCO CARVALHO JUNIOR,50-54,00:32:15,02:39:12,01:47:01,05:03:11
21,JOAO RESENDE,30-34,00:36:40,02:40:16,01:39:01,05:03:18
22,DANIEL GRANDE,30-34,00:31:40,02:42:38,01:44:01,05:03:18
23,CRISTIAN KELLER CASTRO SILVA,35-39,00:31:41,02:36:26,01:48:52,05:03:21
5,RODRIGO ANDRADE,45-49,00:27:41,02:43:15,01:46:18,05:03:24
24,BRUNO CALANDRINI,35-39,00:30:32,02:38:39,01:48:16,05:04:17
9,MARCELO SCHIAVON,40-44,00:26:36,02:39:24,01:53:54,05:04:52
10,JAIRO PAULA PESSOA JUNIOR,25-29,00:27:25,02:38:22,01:54:41,05:04:59
25,ANDERSON  SOUZA,35-39,00:32:46,02:43:20,01:42:40,05:05:17
26,MARCELO AUGUSTO ROCHA LIMA,35-39,00:32:36,02:36:58,01:48:46,05:05:21
27,RICARDO OLIVEIRA,35-39,00:33:45,02:38:34,01:47:03,05:05:25
6,PAULO PIZA,45-49,00:30:36,02:44:03,01:44:13,05:05:30
28,RODRIGO BELLES,35-39,00:29:03,02:41:16,01:50:01,05:05:41
Pos,Nome,Categ,Swim,Bike,Run,Total
6,GABRIEL GALIL,18-24,00:30:31,02:45:10,01:44:55,05:06:08
23,TIAGO ROSSI,30-34,00:28:45,02:46:44,01:44:59,05:06:26
24,ANTONIO VALVERDE,30-34,00:31:39,02:42:15,01:46:51,05:06:31
10,SERGIO NORDSKOG DUARTE,40-44,00:33:56,02:44:09,01:42:15,05:06:58
11,GUILHERME JUCA,25-29,00:30:54,02:51:00,01:40:27,05:07:42
25,GELSON LUIZ PIERRE JUNIOR,30-34,00:33:46,02:45:30,01:43:34,05:08:16
29,GUILHERME ROSSI CUPPOLONI,35-39,00:35:10,02:46:09,01:40:34,05:08:33
11,RODRIGO FERREIRA,40-44,00:30:32,02:47:26,01:45:26,05:08:40
30,DANIEL FIGUEIREDO VILELA,35-39,00:31:45,02:34:55,01:54:54,05:09:12
26,WILLIAN ALMEIDA,30-34,00:35:23,02:46:43,01:40:54,05:09:21
27,PEDRO HENRIQUE DUARTE DO NASCIMENTO,30-34,00:37:31,02:46:52,01:38:31,05:09:26
28,WALTER PASCHOALOTTI NETTO,30-34,00:32:50,02:44:07,01:45:45,05:09:29
29,RODRIGO CARPINETTI,30-34,00:37:03,02:51:11,01:34:58,05:09:41
30,BRUNO PESTANA,30-34,00:30:09,02:35:50,01:59:11,05:10:02
5,LEILA LIANA ANCHIETA ROCHA,PRO,00:34:43,02:52:59,01:38:34,05:10:58
32,DENNIS MATHESON,35-39,00:35:19,02:44:46,01:45:46,05:11:05
13,ANDRE MARAFON,25-29,00:27:07,02:51:12,01:47:59,05:11:33
7,HUDSON RAMOS,45-49,00:32:37,02:46:13,01:47:45,05:11:38
12,GIOVANNI ZEM,40-44,00:40:10,02:40:23,01:43:44,05:11:54
33,FIDELIS MANES NETO,35-39,00:32:41,02:48:55,01:44:13,05:12:05
13,JOAO AUGUSTO LUNA FERNANDES JUNIOR,40-44,--:--:--,02:39:17,01:51:38,05:12:05
34,GEYSON BARBOSA DA SILVA,35-39,00:33:05,02:37:31,01:56:31,05:12:08
1,CARLA LACERDA,18-24,00:30:46,02:48:04,01:49:52,05:13:13
31,MARCELO KENDY KANESHIRO,30-34,00:38:19,02:41:21,01:49:33,05:13:18
2,CLAUDIA SCALDINI,25-29,00:35:08,02:43:46,01:49:09,05:13:33
32,VINICIUS NOVAES,30-34,00:36:24,02:42:03,01:50:04,05:13:42
14,MARCELO PACIFICO,25-29,00:31:10,02:50:32,01:45:56,05:13:49
35,LUIZ CRUZ,35-39,00:31:50,02:49:16,01:47:44,05:14:03
14,ROGERIO DEL NERO,40-44,00:32:56,02:48:25,01:46:37,05:14:06
33,BRUNO BALTAR,30-34,00:29:03,02:45:21,01:53:50,05:14:26
Pos,Nome,Categ,Swim,Bike,Run,Total
36,RODRIGO SEBOLLELA DUQUE ESTRADA REGIS,35-39,00:33:37,02:45:20,01:49:53,05:14:40
34,RENATO AMANTE CHIDIQUIMO,30-34,00:26:30,02:42:21,01:58:37,05:14:48
37,ALEXANDRE AZEREDO,35-39,00:33:47,02:47:23,01:48:09,05:15:05
35,JOAO LEAL,30-34,00:35:28,02:38:47,01:54:09,05:15:11
38,RODRIGO PONTUAL,35-39,00:34:36,02:41:26,01:52:10,05:15:11
3,ALEXANDRE CAMPOS,50-54,00:31:51,02:49:43,01:47:30,05:15:30
15,JOSE OTAVIO RIBEIRO  CRUZ FILHO,40-44,00:34:04,02:45:05,01:49:29,05:15:33
16,ANDERSON NAVI,40-44,00:34:30,02:53:58,01:41:38,05:15:56
8,OLAVO JOSE DOS SANTOS,45-49,00:35:41,02:43:53,01:48:58,05:16:23
18,RICARDO CHEMMER,40-44,00:32:27,02:46:55,01:49:33,05:16:36
37,MARCOS NETO,30-34,00:35:14,02:52:12,01:42:08,05:16:39
4,CARLOS VIANA,50-54,00:30:43,02:51:17,01:47:39,05:16:39
39,BRUNO GARCIA,35-39,00:31:46,02:51:13,01:45:28,05:16:45
38,LUIS GUSTAVO MOREIRA,30-34,00:30:29,02:46:14,01:53:34,05:16:51
7,CARLOS DA VEIGA SICUPIRA NUNES FERREIRA,18-24,00:33:25,02:54:27,01:42:16,05:17:17
39,WAGNER CUNHA WEBER,30-34,00:27:43,02:49:48,01:54:47,05:17:22
40,DANIEL TARTARO,35-39,00:32:17,02:52:26,01:46:04,05:17:32
40,ALBERTO SOARES LUNDGREN CORRÊA,30-34,00:31:47,02:42:31,01:57:59,05:17:39
1,DEBORA CARVALHO,30-34,00:30:23,03:00:25,01:42:46,05:17:40
8,LEVI XAVIER VIANA,18-24,00:31:58,02:52:55,01:47:09,05:17:42
19,FABIO PAIVA CARVALHO,40-44,00:34:06,02:44:58,01:52:19,05:17:48
41,FABIO ANTUNES,30-34,00:29:46,02:42:22,01:59:27,05:17:55
42,RENATO CAVALCANTI,30-34,00:34:53,02:50:12,01:47:00,05:18:01
20,MARCIO LEANDRO GARBIN,40-44,00:33:06,02:46:45,01:52:25,05:18:08
41,BRUNO TUPINAMBÁ,35-39,00:41:19,02:47:19,01:41:54,05:18:11
42,LUCAS PEREIRA MORAES GARCIA,35-39,00:31:54,02:48:02,01:52:46,05:18:14
43,FREDERICO SILVA,30-34,00:36:17,02:50:42,01:46:41,05:18:14
43,THIAGO SOUZA SALVIANO,35-39,00:41:45,02:34:23,01:56:59,05:18:19
21,EDUARDO ALECSANDER XAVIER MEDEIROS,40-44,00:37:34,02:50:40,01:43:31,05:18:24
44,EMMERSON CARDOSO,30-34,00:34:19,02:52:27,01:46:27,05:18:29
Pos,Nome,Categ,Swim,Bike,Run,Total
45,FILIPPE FRANZONE,30-34,00:33:58,02:45:20,01:56:29,05:18:30
44,MARCELO QUINT DA SILVA,35-39,00:34:24,02:41:09,01:55:41,05:18:41
9,MARCIO FUKUHARA,45-49,00:32:25,02:45:40,01:54:38,05:18:43
22,RAFAEL NEIVA,40-44,00:29:07,02:56:29,01:48:41,05:19:27
15,PAULO GUSTAVO ANDRADE PROVAZZI,25-29,00:36:13,02:35:15,02:03:14,05:19:40
16,SANDRO WUICIK,25-29,00:33:09,02:48:22,01:50:28,05:19:48
45,DANIEL JORGE MONTEIRO LIMA BARREIROS,35-39,00:30:37,02:43:24,02:00:24,05:20:04
48,LUIZ GUSTAVO SANTOS,35-39,00:31:37,02:43:03,02:01:09,05:21:02
10,GUSTAVO DUARTE,45-49,00:32:24,02:46:09,01:54:01,05:21:05
6,KARINE XIMENES,PRO,00:32:59,02:44:32,01:58:54,05:21:19
49,SIDIMAR DAMASCENO,35-39,00:38:10,02:50:02,01:47:56,05:21:50
46,GUI PASCULLI,30-34,00:35:01,02:52:11,01:48:30,05:22:23
1,JULIANA TRINDADE,35-39,00:33:33,02:56:02,01:46:53,05:22:26
50,FERNANDO CESAR DE AVELLAR,35-39,00:32:40,02:42:19,02:01:23,05:22:28
47,CLAYTON SILVA,30-34,00:36:54,02:47:25,01:52:53,05:22:43
17,HENRIQUE COSTA,25-29,00:38:39,02:44:38,01:52:22,05:22:44
48,DIEGO E SILVA,30-34,00:38:35,02:50:41,01:45:50,05:22:47
49,PEDRO DIAS SOARES,30-34,00:34:49,02:49:12,01:53:43,05:23:05
23,ROBERTO BARRETTO,40-44,00:32:00,02:58:09,01:45:16,05:23:06
18,JOAO MAGALHAES,25-29,--:--:--,02:45:06,01:49:26,05:23:08
50,ALEXANDRE MENDONCA,30-34,00:34:55,02:52:57,01:47:10,05:23:12
51,RAFAEL SOUZA,30-34,00:26:15,02:53:48,01:59:16,05:23:29
2,JOANA KFURI,40-44,00:35:42,02:46:10,01:55:45,05:23:48
1,MANOEL O B FERRAZ,55-59,00:37:32,02:51:36,01:46:29,05:24:09
25,GUSTAVO ZANATTA,40-44,00:32:22,02:56:31,01:48:01,05:24:16
19,EDUARDO BUFFARA,25-29,00:30:48,02:32:00,02:14:42,05:24:22
12,AUGUSTO AFFONSO AREIAS JUNIOR,45-49,00:33:44,02:52:59,01:50:36,05:24:24
51,FABIO CARNEIRO,35-39,00:34:45,02:43:38,02:00:56,05:24:41
26,TARCISIO SANTANA FILHO,40-44,00:33:04,02:51:47,01:45:52,05:24:44
20,JOSE LUIZ FERRAZ FALK,25-29,00:30:26,02:39:34,02:09:19,05:24:51
Pos,Nome,Categ,Swim,Bike,Run,Total
27,DORIVAL AGULHON JUNIOR,40-44,00:33:44,02:43:36,01:57:55,05:24:52
6,JULIO CESAR SANTANA DOS SANTOS,50-54,00:34:30,02:52:05,01:51:54,05:24:55
28,CELSO SAKAKURA,40-44,00:28:38,02:50:29,02:00:08,05:25:06
52,ADRIANO ANTUNES DAMASCENO,30-34,00:29:02,02:55:42,01:54:04,05:25:09
52,CASSIANO RICARDO MOREIRA PESSOA,35-39,00:34:13,02:51:55,01:53:33,05:25:27
29,CRISTIANO MOREIRA,40-44,00:30:51,02:50:24,01:59:04,05:25:41
53,ANDRE FIXEL,30-34,00:36:02,02:50:02,01:50:46,05:25:48
53,RALF KRAUSE REIS MACHADO,35-39,00:31:38,02:54:40,01:54:17,05:25:53
54,CARLOS REINE,30-34,00:31:57,02:51:37,01:56:13,05:26:13
54,CLELIO HENRIQUE SEMENSATO MOREIRA,35-39,00:37:11,02:47:25,01:53:32,05:26:21
55,CLEBER SOARES,35-39,00:36:54,03:00:25,01:42:27,05:26:50
2,PATRICIA PEIXOTO SIMON,35-39,00:33:13,02:55:12,01:52:29,05:26:52
30,JONI QUIRINO,40-44,00:36:42,02:50:44,01:51:17,05:27:06
13,JORGE MORAN,45-49,00:32:16,02:59:12,01:49:19,05:27:13
31,RODRIGO MACHADO,40-44,00:34:29,02:54:22,01:52:48,05:27:17
8,LUIZ AUGUSTO DA CUNHA ANDRADE,50-54,00:41:07,02:47:57,01:46:18,05:27:20
2,TICIANE SILVA AMANCIO,30-34,00:33:05,02:56:10,01:51:40,05:27:47
55,LEONARDO COSTA,30-34,00:30:04,02:54:37,01:56:32,05:28:03
56,RAFAEL ALVES DE OLIVEIRA,30-34,00:32:20,02:55:42,01:52:44,05:28:19
57,FABRINI PEIXOTO CARVALHO,30-34,00:29:58,02:52:36,01:58:24,05:28:24
58,LUIS MARTINS,30-34,00:35:55,02:55:04,01:49:52,05:28:29
59,CHRISTIAN TAGUCHI,30-34,00:37:12,02:51:12,01:52:15,05:28:37
60,ALEX TURNES,30-34,00:35:25,02:42:29,02:02:10,05:28:39
61,RICARDO RODRIGUES SALDANHA,30-34,00:30:26,02:46:45,02:05:30,05:28:51
56,RICARDO SANTANA,35-39,00:39:39,02:52:59,01:53:52,05:28:56
57,KLEBER RENATO DE SOUZA LUIZ,35-39,00:34:34,02:49:10,02:00:17,05:29:02
14,SERGIO BRITTO,45-49,00:33:32,02:46:30,02:03:34,05:29:26
15,MARCELO COELHO CARPENTER,45-49,00:30:29,02:49:12,02:03:51,05:29:32
33,ALEXSANDER STANISCI,40-44,00:37:33,02:58:04,01:45:22,05:29:49
58,RODRIGO AUGUSTO RAMOS RODRIGUES,35-39,00:34:44,02:59:08,01:48:22,05:29:52
Pos,Nome,Categ,Swim,Bike,Run,Total
3,ERICA BAMBERG,35-39,00:32:11,02:59:37,01:52:27,05:29:55
4,GABRIELA ERGAS GENNARI,35-39,00:37:56,02:59:31,01:46:24,05:30:06
59,RUI RECH,35-39,00:37:42,02:54:34,01:49:27,05:30:12
60,OCTAVIO FERNANDES,35-39,00:40:20,02:58:05,01:42:50,05:30:28
9,CARLOS EDUARDO AGUIAR,50-54,00:32:13,02:58:25,01:53:01,05:30:48
16,ROGERIO SANTOS,45-49,00:38:36,02:44:33,02:01:43,05:30:49
35,RICARDO ANDRADE,40-44,00:29:52,02:48:46,02:06:00,05:30:50
36,RODRIGO BRASILEIRO,40-44,00:34:32,02:50:38,01:59:03,05:30:55
37,WILLIAM PINTO,40-44,00:37:33,02:55:29,01:52:04,05:31:15
21,GABRIEL DIAS AGUILERA FERNAN,25-29,00:33:34,03:01:29,01:48:00,05:31:16
22,MATEUS MENDONCA,25-29,00:38:40,02:51:34,01:54:51,05:31:27
38,JOSE RENATO M. TOLEDO JR.,40-44,00:35:36,02:50:08,01:58:09,05:31:32
61,FABIO DIAS,35-39,00:35:32,02:35:08,02:15:19,05:31:43
39,FERNANDO PIRES TEIXEIRA,40-44,00:34:38,02:47:20,02:01:34,05:31:48
17,SANDRO DE PAIVA MAGALHAES,45-49,00:33:27,02:43:51,02:07:47,05:31:57
23,JULIANO KATAYAMA,25-29,00:37:30,02:48:03,01:58:42,05:31:59
40,RAFAEL BARAJAS,40-44,00:28:55,03:06:50,01:47:36,05:32:03
41,IVAN NERISDE ALENCAR BATISTA,40-44,00:35:19,03:00:40,01:46:47,05:32:08
62,ANGELO SELERI,35-39,00:40:58,02:43:37,02:01:52,05:32:16
