Pos,Nome,Pais,Swim,Bike,Run,Total
1,YVONNE VAN VLERKEN,NLD,--:--:--,04:55:57,03:03:06,08:01:47
2,CAMILLA LINDHOLM BORG,SWE,--:--:--,05:14:05,03:20:03,08:36:28
3,ASHLEY CLIFFORD,USA,--:--:--,05:24:11,03:09:51,08:36:55
4,RACHEL JASTREBSKY,USA,--:--:--,05:17:53,03:19:34,08:39:43
5,MICHELLE BOZARTH,USA,--:--:--,05:30:25,03:16:44,08:50:13
6,LESLIE LAMACCHIA,USA,--:--:--,05:38:59,03:29:00,09:10:59
7,TAMI RITCHIE,USA,--:--:--,05:48:17,03:21:46,09:13:29
8,DEE ATKINS,USA,--:--:--,05:35:54,03:52:56,09:32:32
9,CARLA MORENO,BRA,--:--:--,05:58:43,03:48:58,09:53:58
