Pos,Nome,Pais,Swim,Bike,Run,Total
1,SEBASTIAN KIENLE,DEU,00:54:38,04:20:46,02:54:36,08:14:18
2,BEN HOFFMAN,USA,00:51:20,04:32:20,02:51:25,08:19:23
3,JAN FRODENO,DEU,00:50:56,04:37:19,02:47:46,08:20:32
4,ANDY POTTS,USA,00:50:56,04:36:56,02:48:18,08:21:38
5,CYRIL VIENNOT,FRA,00:54:32,04:31:18,02:51:55,08:22:19
6,NILS FROMMHOLD,DEU,00:51:14,04:34:11,02:52:45,08:22:29
7,TIM VAN BERKEL,AUS,00:51:21,04:36:45,02:50:53,08:23:26
8,FREDERIK VAN LIERDE,BEL,00:51:03,04:32:17,02:56:21,08:24:11
9,BART AERNOUTS,BEL,00:55:43,04:37:47,02:50:12,08:28:28
10,ROMAIN GUILLAUME,FRA,00:51:08,04:34:23,02:59:58,08:30:15
11,MAIK TWELSIEK,DEU,00:54:38,04:24:03,03:07:20,08:31:06
12,RONNIE SCHILDKNECHT,CHE,00:55:39,04:38:09,02:54:54,08:33:35
13,CRAIG ALEXANDER,AUS,00:51:50,04:41:39,02:58:58,08:36:25
14,PAUL MATTHEWS,AUS,00:51:08,04:38:43,03:03:09,08:37:17
15,LUKE MCKENZIE,AUS,00:54:36,04:36:44,03:02:12,08:38:12
16,MICHAEL WEISS,AUT,01:00:52,04:33:55,02:58:35,08:38:27
17,IVAN RANA,ESP,00:51:56,04:58:10,02:44:38,08:38:59
18,JEREMY JURKIEWICZ,FRA,00:51:49,04:50:27,02:53:06,08:39:46
19,MARKO ALBERT,EST,00:51:01,04:39:18,03:05:18,08:40:02
20,BORIS STEIN,DEU,01:01:52,04:36:43,02:57:54,08:40:42
21,TIMOTHY JAMES REED,AUS,00:51:25,04:38:21,03:10:07,08:44:45
22,MAREK JASKOLKA,POL,00:54:36,04:53:02,02:56:12,08:48:27
23,MATT RUSSELL,USA,01:00:52,04:39:17,03:04:06,08:49:03
24,KYLE BUCKINGHAM,ZAF,00:54:33,04:44:38,03:06:01,08:50:28
25,IGOR AMORELLI,BRA,00:51:00,04:41:26,03:15:47,08:52:37
26,JUSTIN DAERR,USA,00:57:32,04:50:25,03:01:58,08:54:01
27,JOE GAMBLES,AUS,00:52:04,04:51:55,03:05:45,08:55:15
28,CHRISTIAN BRADER,DEU,01:02:28,04:59:30,02:50:38,08:57:56
29,HARRY WILTSHIRE,GBR,00:51:19,04:58:57,03:05:36,09:00:00
30,PAUL AMBROSE,AUS,00:52:15,04:50:29,03:15:43,09:02:58
