Pos,Nome,Pais,Swim,Bike,Run,Total
1,LUÍSA BAPTISTA,BRA,00:27:40,02:31:36,01:27:17,04:29:40
2,ROMINA PALACIO,ARG,00:27:41,02:36:08,01:26:21,04:33:43
3,CAROLINA FURRIELA,BRA,00:27:40,02:35:55,01:27:42,04:35:00
4,ARIANE MONTICELI,BRA,00:30:53,02:32:40,01:30:43,04:35:41
5,LUIZA CRAVO,BRA,00:30:50,02:31:00,01:33:18,04:39:05
6,MARIA LUZ POBLETE,CHL,00:30:43,02:34:42,01:31:37,04:40:23
7,MARIANA BORGES DE ANDRADE,BRA,00:30:48,02:37:30,01:40:17,04:51:37
