Pos,Nome,Pais,Swim,Bike,Run,Total
1,SANTIAGO ASCENCO,BRA,00:24:52,02:12:41,01:17:52,03:58:51
2,PAULO ROBERTO MACIEL DA SILVA,BRA,00:22:26,02:19:46,01:23:29,04:09:12
3,LUIZ FRANCISCO PAIVA FERREIRA,BRA,00:22:00,02:18:33,01:25:38,04:10:07
4,FERNANDO TOLDI,BRA,00:22:55,02:20:48,01:22:54,04:10:16
5,FELIPE MANENTE,BRA,00:25:49,02:20:14,01:23:15,04:12:59
6,MARIO DE ELIAS,ARG,00:24:09,02:25:53,01:21:31,04:14:58
7,THIAGO VINHAL,BRA,00:24:11,02:34:13,01:24:00,04:26:34
8,GUSTAVO PERREIRA,BRA,00:26:12,02:20:48,01:48:43,04:39:33
9,ALEXANDRE MOURA,BRA,00:32:24,02:39:51,01:40:10,04:57:36
