Pos,Nome,Pais,Swim,Bike,Run,Total
1,ELLIE SALTHOUSE,AUS,00:28:25,02:23:45,01:22:25,04:17:36
2,CARRIE LESTER,AUS,00:28:28,02:23:29,01:26:59,04:22:01
3,HEATHER WURTELE,CAN,00:29:38,02:24:00,01:28:18,04:24:48
4,ANGELA NAETH,CAN,00:32:51,02:25:46,01:28:41,04:30:33
5,CARLY JOHANN,USA,00:32:48,02:28:13,01:33:05,04:37:44
6,CHRISTEN BROWN,USA,00:29:51,02:42:09,01:34:31,04:49:37
7,ADELAIDE PERR,USA,00:32:43,02:44:19,01:38:18,04:58:58
