Pos,Nome,Pais,Swim,Bike,Run,Total
1,DAVID PLESE,SVN,00:50:39,04:25:28,02:43:38,08:02:20
2,ANTON BLOKHIN,UKR,00:47:45,04:19:06,02:56:18,08:05:50
3,PER VAN VLERKEN,DEU,00:47:44,04:19:28,02:56:37,08:06:23
4,MAURO BAERTSCH,CHE,00:51:12,04:26:28,02:49:53,08:10:25
5,TIM BRYDENBACH,BEL,00:47:34,04:23:41,02:56:30,08:10:34
6,MAREK JASKOLKA,POL,00:47:36,04:30:00,02:54:16,08:14:37
7,DIRK WIJNALDA,NLD,00:56:59,04:26:04,02:48:37,08:14:51
8,SERGIO MARQUES,PRT,00:54:51,04:28:19,02:49:31,08:15:28
9,MICHAEL RUENZ,DEU,00:56:55,04:22:34,02:52:49,08:15:36
10,XAVIER TORRADES SABADA,ESP,00:50:26,04:27:10,03:00:30,08:20:45
11,JOSEP VI̱OLAS,ESP,00:56:29,04:26:39,02:56:38,08:22:51
12,ANDREAS NIEDRIG,DEU,00:47:46,04:17:46,03:14:59,08:23:28
13,JENS FROMMHOLD,DEU,00:56:58,04:26:37,02:57:28,08:23:43
14,MIKITA HRYHORYEU,BLR,00:50:43,04:32:45,02:57:32,08:23:48
15,ROMAN DEISENHOFER,DEU,00:53:15,04:27:06,03:02:07,08:24:57
16,PETR VABROUSEK,CZE,00:56:41,04:26:44,03:01:13,08:27:35
17,DENIS SKETAKO,SVN,00:56:45,04:24:38,03:03:43,08:27:50
18,MIKOLAJ LUFT,POL,00:50:02,04:27:09,03:07:52,08:28:09
19,OLIVER SIMON,GBR,00:47:32,04:24:34,03:19:28,08:34:17
20,ALLAN HOVDA,NOR,01:03:30,04:30:32,02:59:17,08:36:08
21,HANNES COOL,BEL,00:47:42,04:23:39,03:27:00,08:41:09
22,BRYAN MCCRYSTAL,IRL,01:02:47,04:17:11,03:18:30,08:41:29
23,LUCA DE PAOLIS,ITA,01:00:05,04:33:36,03:08:10,08:45:51
24,EMANUELE CIOTTI,ITA,00:50:47,04:37:58,03:15:33,08:47:54
25,MICHAEL LOUYS,BEL,01:02:11,04:31:15,03:16:34,08:53:27
26,ORIOL GILI,ESP,00:54:40,04:28:36,03:27:35,08:54:00
27,PHILIP MOSLEY,GBR,00:57:08,04:46:21,03:08:35,08:55:22
28,ENRIC GUSSINYER,ESP,00:50:53,04:31:56,03:29:47,08:56:04
29,RAFAEL ESPINAR,ESP,01:03:08,04:50:09,03:05:09,09:02:54
30,LUKAS POLAN,CZE,01:01:18,04:47:47,03:13:43,09:06:01
