Pos,Nome,Pais,Swim,Bike,Run,Total
1,DANIELA SAEMMLER,DEU,00:57:21,04:44:00,03:17:28,09:05:49
2,GABRIELLA ZELINKA,HUN,00:57:23,04:57:27,03:17:24,09:19:51
3,BIANCA STEURER,AUT,00:58:55,04:57:28,03:17:54,09:22:19
4,CAROLIN LEHRIEDER,DEU,00:55:49,04:57:03,03:28:21,09:28:22
5,FEDERICA DE NICOLA,ITA,01:00:08,05:04:38,03:15:37,09:28:59
6,HEINI HARTIKAINEN,FIN,01:05:04,04:57:04,03:32:29,09:43:18
7,IRENE COLETTO,ITA,01:09:25,05:02:22,03:30:18,09:50:27
8,ZELJKA SABAN MILICIC,HRV,00:55:51,05:29:25,03:40:03,10:15:04
