Pos,Nome,Categ,Swim,Bike,Run,Total
220,GUSTAVO MIRANDA SOARES,45-49,00:42:36,03:14:46,02:18:39,06:33:20
28,KATIA SILVA,45-49,00:40:48,03:29:59,02:10:30,06:35:19
258,PAULO MALTA,35-39,00:39:58,03:17:55,02:23:10,06:39:28
37,NATÁLIA NASCIMENTO GUILHERME,35-39,00:45:02,03:49:07,02:01:16,06:48:11
268,FELIPE ULIANO DA SILVA,35-39,00:44:32,03:18:15,02:28:35,06:51:32
154,CLAUDIO GUIMAQRÃES,50-54,00:45:39,02:56:08,02:50:10,06:51:42
155,ARNALDO REGADAS MONTEZUMA,50-54,00:42:07,03:08:13,02:44:07,06:52:19
156,MAURICIO DE MEDEIROS,50-54,00:36:22,03:18:58,02:38:58,06:52:47
266,FERNANDO YUKIO TABUSADANI,30-34,00:45:19,03:13:25,02:39:57,06:59:50
273,ANDERSON PITTA LOPES DE ABREU,35-39,00:38:27,03:30:15,02:32:12,07:00:26
47,JUANITA AGOSTINI,40-44,00:54:14,03:33:12,02:20:29,07:02:03
44,FERNANDA VANESSA NUNES DA SILVA,35-39,00:47:40,03:45:10,02:11:21,07:08:25
45,ANA PAULA ADORNO DE LACERDA,35-39,00:54:16,03:42:50,02:17:41,07:12:49
143,RAFAEL WALD REISSMANN,25-29,00:48:13,03:42:19,02:27:50,07:19:12
280,GUILHERME DE ANGELI FERREIRA,35-39,00:37:54,03:27:36,02:52:00,07:23:10
51,VANESSA LINS CUNHA,35-39,00:44:24,03:24:11,02:51:24,07:23:11
367,FABIO JOSE BORDALLOPINTO,40-44,00:39:46,03:28:29,02:54:07,07:24:01
281,EDUARDO SCHUSTER WILDNER,35-39,00:42:25,04:03:53,02:20:13,07:27:43
43,IZABELA SOUZA FREITAS,30-34,00:55:17,03:38:09,02:35:21,07:28:55
52,ANDRESSA SALLES GONÇALVES PAIS,40-44,00:47:21,03:52:51,02:33:43,07:31:09
54,MARIA STELA MIGLORANCIA,35-39,00:44:56,03:36:40,02:56:33,07:35:14
