Pos Categ,Nome,Categ,Sexo,Swim,Bike,Run,Total
159,EDUARDO ROSSINI,35-39,M,00:35:25,02:56:14,01:46:12,05:26:29
161,VICTOR CAVALCANTE,35-39,M,00:35:33,02:41:39,01:56:58,05:26:41
74,ANDRE SCHAHIN,45-49,M,00:38:07,02:50:14,01:48:49,05:26:57
148,MARCELO FONTOURA,40-44,M,00:36:32,02:43:16,02:00:26,05:27:53
80,ALEXANDRE LOVECCHIO,45-49,M,00:36:37,02:38:23,02:04:33,05:27:58
50,DIOGO DECKER,25-29,M,00:47:47,02:40:30,01:52:58,05:28:56
22,FERNANDO LUZ,50-54,M,00:34:52,02:46:40,01:58:07,05:29:29
10,MARIANA ABRANTES,25-29,M,00:38:42,02:52:29,01:47:38,05:29:36
154,EDUARDO RIBEIRO DE MOURA,40-44,M,00:32:33,02:41:43,02:02:36,05:29:38
125,RAUL RIZZO BASTOS,30-34,M,00:35:48,02:46:19,01:59:06,05:30:00
157,MAURICIO SCHONENBERGER,40-44,M,00:42:31,02:47:50,01:47:32,05:30:14
159,THIAGO DE CAMARGO PENTEADO MENDES,40-44,M,00:37:02,02:38:24,02:02:51,05:30:37
14,PAULO RICARDO SOARES DOS SANTOS,55-59,M,00:36:34,02:47:58,01:57:36,05:31:04
52,BRUNO WAYNER DONEGATTI,25-29,M,00:43:09,02:48:52,01:48:38,05:31:41
179,PAULO RAFAEL BOEIRA OLIVEIRA,35-39,M,00:37:21,02:48:18,01:56:47,05:32:10
54,MATHEUS RICHARD SANTOS DE MORAES,25-29,M,00:37:18,02:48:21,01:59:06,05:33:22
92,CHRISTIAN NINO,45-49,M,00:32:06,02:55:09,01:56:51,05:33:41
21,MESSODY ZAGURY WAISSMANN,35-39,M,00:35:31,02:48:52,02:01:18,05:33:55
172,LUCIANO GARNICA CAMARGO,40-44,M,00:36:32,02:41:08,02:04:46,05:34:12
56,JOÃO PAULO MORAIS DA SILVA,25-29,M,00:39:50,02:52:20,01:52:39,05:34:14
132,PEDRO VIEIRA,30-34,M,00:34:22,02:44:11,02:07:03,05:35:23
34,MARCELO ARANTES DE CARVALHO,50-54,M,00:45:23,02:43:42,01:52:50,05:36:16
180,JONATHAN SCHROEDER,40-44,M,00:38:40,02:45:12,02:02:52,05:36:17
181,LUCIANO LENZ,40-44,M,00:38:35,03:02:34,01:42:23,05:36:55
101,ANDERSON HAUBRICH,45-49,M,00:51:50,02:41:31,01:52:32,05:37:16
19,ALEXANDRE FLAUSINO,18-24,M,00:45:08,02:34:45,02:03:33,05:37:48
188,RODRIGO VIEIRA TEIXEIRA,35-39,M,00:40:13,02:54:33,01:53:20,05:37:59
13,ERICKA SALES,30-34,M,00:31:10,02:57:20,01:58:21,05:38:09
36,FLAVIO NUNES MATIAS,50-54,M,00:33:35,02:36:26,02:17:40,05:38:24
12,DOMINIQUE VLAVIANOS GUILLAUMON,25-29,M,00:38:07,02:45:46,02:04:39,05:38:28
191,RODRIGO SARTORI,35-39,M,00:42:02,02:50:11,01:55:02,05:38:36
192,LEANDRO PEDROSO,35-39,M,00:40:03,02:38:16,02:11:30,05:38:42
14,NAYARA KAKO,30-34,M,00:38:36,02:48:26,02:01:16,05:39:07
108,ROGERIO ASSIS,45-49,M,00:34:29,02:39:39,02:14:36,05:39:10
23,ELISA BACELLAR DE SOUZA,35-39,M,00:30:04,02:44:26,02:13:44,05:39:25
113,FABIO FARIAS,45-49,M,00:45:07,02:46:04,02:00:26,05:40:31
41,FLAVIO NEVES BITTENCOURT DE SA,50-54,M,00:28:55,02:49:18,02:11:17,05:40:34
141,FABIO TARGAS GONÇALVES,30-34,M,00:34:38,02:37:10,02:19:51,05:40:39
197,EDUARDO FREITAS,35-39,M,00:40:31,02:55:57,01:51:28,05:40:42
198,FRANCO LAGHETTO,40-44,M,00:37:15,02:42:22,02:10:38,05:41:04
199,PAULO ZACHARIAS,40-44,M,00:36:29,02:38:34,02:16:05,05:41:21
199,CARLOS EDUARDO SÁ ARAÚJO,35-39,M,00:37:20,02:39:06,02:16:41,05:41:25
201,MARCELO CRUZ LOPES,40-44,M,00:36:46,02:48:11,02:03:49,05:41:57
14,ALHANDRA ELEUTÉRIO RODRIGUES,25-29,M,00:39:06,02:55:57,01:52:33,05:42:22
20,ALESSANDRA GOMES,40-44,M,00:39:45,02:47:38,01:59:37,05:42:39
206,FABRICIO NAKAO,35-39,M,00:42:08,02:44:16,02:03:27,05:42:50
121,HENRIQUE OLIVEIRA,45-49,M,00:33:25,02:49:52,02:05:32,05:43:14
26,ANA KARINA SCARLATO,35-39,M,00:45:44,02:50:45,01:55:15,05:43:17
211,FABIO PESSANHA WAGNER DE BRITO,40-44,M,00:45:19,02:37:46,02:11:54,05:43:37
48,CIRO ABREU,50-54,M,00:43:33,02:44:24,02:05:21,05:44:10
27,PATRICIA GUARDABASSI,35-39,M,00:37:22,02:59:12,01:59:08,05:44:29
216,MARCELO LUIZ LEAL,40-44,M,00:38:14,02:43:43,02:13:38,05:44:42
218,RAPHAEL SANCHEZ,40-44,M,00:39:09,02:48:15,02:00:58,05:45:09
215,MARCIO LUIZ DELEIGO,35-39,M,00:45:02,02:41:02,02:07:36,05:45:15
219,WILSON H. MOLINARI,40-44,M,00:45:25,02:47:42,02:01:14,05:46:07
151,AMÓS ARAGÃO FRANCO DA COSTA,30-34,M,00:41:38,02:49:17,02:02:35,05:46:08
4,LUIZ FELIPE MOURA,60-64,M,00:49:25,02:44:34,02:02:39,05:46:13
22,WANTUIL TEIXEIRA,55-59,M,00:40:37,02:57:02,01:59:00,05:46:28
217,DIOGO SÁ,35-39,M,00:35:04,02:45:43,02:13:31,05:46:58
153,PEDRO ALEXANDRE ISMAEL AMARAL SILVA,30-34,M,00:41:50,02:49:39,02:01:57,05:47:28
55,RICARDO DA PONTE,50-54,M,00:42:43,02:51:19,01:59:32,05:48:49
230,MOACIR FARIA,40-44,M,00:42:21,02:46:46,02:07:09,05:49:21
30,SABRINA REBELO,35-39,M,00:44:29,02:44:30,02:08:52,05:50:02
238,FABIO VILAR,40-44,M,00:43:29,02:59:28,01:58:24,05:52:09
240,CHRISTIANO NAVES,40-44,M,00:39:39,02:54:39,02:05:58,05:52:24
160,KLEBER CHOBA ROMANO,30-34,M,00:49:18,02:35:55,02:16:14,05:52:51
249,FREDERICO REZENDE,40-44,M,00:38:04,02:49:06,02:12:17,05:53:34
227,LUIS NEVES,35-39,M,00:41:47,02:44:16,02:15:09,05:54:31
228,ISMAEL VINICIUS GALIOTTO,35-39,M,00:46:19,02:44:55,02:11:58,05:54:59
18,KARINA MEIRELLES,25-29,M,00:46:26,03:02:17,01:55:15,05:55:13
152,HELVERCIO ALVES,45-49,M,00:44:07,02:48:21,02:07:28,05:55:18
232,JEFFERSON SILVA,35-39,M,00:40:22,02:56:42,02:05:54,05:56:39
233,ANTONIO CARLOS DE AZEVEDO PESSOA,35-39,M,00:40:15,02:50:01,02:15:25,05:56:49
20,JULIANA RESENDE,25-29,M,00:41:35,02:47:40,02:18:40,05:56:49
26,CELINA PRADO BARIONI GOULART,30-34,M,00:49:46,02:52:33,02:00:49,05:57:06
236,BRUNO CORREA RIBEIRO,35-39,M,00:45:24,02:48:06,02:11:56,05:57:31
169,JEFERSON LANA,30-34,M,00:41:04,02:51:04,02:14:44,05:57:37
