Pos,Nome,Pais,Swim,Bike,Run,Total
1,INDIA LEE,GBR,00:15:31,02:37:46,01:23:59,04:25:05
2,NIKKI BARTLETT,GBR,00:18:24,02:31:50,01:30:36,04:28:01
3,FENELLA LANGRIDGE,GBR,00:15:54,02:37:41,01:28:21,04:28:06
4,CHANTAL CUMMINGS,GBR,00:17:55,02:42:22,01:27:02,04:33:46
5,SUZIE RICHARDS,GBR,00:18:22,02:44:21,01:32:09,04:43:25
6,EMMA DEARY,GBR,00:19:50,02:47:45,01:35:51,04:51:42
