Pos,Nome,Pais,Swim,Bike,Run,Total
1,ENEKO LLANOS,ESP,00:23:50,02:23:38,01:15:37,04:06:26
2,ROMAIN GUILLAUME,FRA,00:23:40,02:22:31,01:17:14,04:06:42
3,ANTONY COSTES,FRA,00:23:41,02:23:57,01:17:04,04:07:44
4,DAVID MCNAMEE,GBR,00:23:51,02:27:18,01:15:32,04:09:45
5,ALBERTO MORENO MOLINS,ESP,00:25:12,02:26:30,01:14:22,04:09:56
6,ANDREAS GIGLMAYR,AUT,00:23:43,02:30:46,01:15:49,04:13:39
7,PIETER HEEMERYCK,BEL,00:23:52,02:29:38,01:21:01,04:17:17
8,RICARDO HERNÁNDEZ MARRERO,ESP,00:23:38,02:30:48,01:19:53,04:17:50
9,MIKE AIGROZ,CHE,00:23:53,02:30:29,01:20:54,04:18:19
10,JENS PETERSEN-BACH,DNK,00:25:17,02:35:14,01:21:31,04:25:22
11,KEVIN THORNTON,IRL,00:25:14,02:32:12,01:25:45,04:27:31
12,RYAN WADDINGTON,AUS,00:26:23,02:39:53,01:18:23,04:27:47
13,BEKIM CHRISTENSEN,DNK,00:32:26,02:31:06,01:22:21,04:29:24
14,ROBIN SCHNEIDER,DEU,00:24:32,02:38:02,01:27:19,04:33:09
15,MARTIN BADER,AUT,00:23:53,02:43:17,01:27:31,04:37:49
16,SWEN SUNDBERG,DEU,00:26:26,02:34:14,01:34:27,04:38:23
17,PHILIPP REINER,AUT,00:27:15,02:42:10,01:25:26,04:38:34
18,ALI ROBINSON,GBR,00:33:36,02:33:46,01:29:15,04:40:40
19,SEBASTIEN JOUFFRET,FRA,00:28:31,02:41:37,01:37:58,04:52:40
