Pos,Nome,Pais,Swim,Bike,Run,Total
1,LAURA PHILIPP,DEU,00:55:43,04:42:39,02:52:00,08:34:57
2,HANNA MAKSIMAVA,BLR,00:55:33,05:07:40,02:59:50,09:08:18
3,YVONNE VAN VLERKEN,NLD,00:55:50,04:49:32,03:21:01,09:10:49
4,SIMONA KRIVANKOVA,CZE,01:05:32,05:01:26,03:06:30,09:19:06
5,PLEUNI HOOIJMAN,NLD,01:04:50,04:52:51,03:28:07,09:30:36
6,MERCE TUSELL,ESP,01:06:00,05:05:33,03:15:36,09:33:25
7,VENLA KOIVULA-HUTTUNEN,FIN,01:04:26,04:58:54,03:35:14,09:43:52
8,ANNI ANTIKAINEN,FIN,01:04:27,05:12:37,03:25:34,09:47:19
9,DOLCA OLLE GATELL,ESP,00:55:38,05:08:18,03:42:36,09:52:03
10,RAHEL BELLINGA,NLD,01:05:32,04:57:28,03:54:34,10:03:13
11,LOOTTY HARARI,PAN,01:10:40,05:14:08,03:36:36,10:11:14
