Pos,Nome,Pais,Swim,Bike,Run,Total
1,HELLE FREDERIKSEN,DNK,00:22:56,02:38:08,01:26:44,04:29:58
2,LUCY GOSSAGE,GBR,00:26:30,02:50:07,01:30:49,04:50:04
3,NICOLE WOYSCH,DEU,00:26:41,02:54:13,01:39:50,05:03:28
