Pos,Nome,Pais,Swim,Bike,Run,Total
1,PATRICK LANGE,DEU,00:50:37,04:16:04,02:41:31,07:52:39
2,BART AERNOUTS,BEL,00:54:07,04:12:25,02:45:41,07:56:41
3,DAVID MCNAMEE,GBR,00:49:31,04:21:18,02:46:03,08:01:09
4,TIMOTHY O'DONNELL,USA,00:47:45,04:18:45,02:52:33,08:03:17
5,BRADEN CURRIE,NZL,00:49:28,04:17:17,02:53:38,08:04:41
6,MATT RUSSELL,USA,00:54:02,04:12:58,02:52:56,08:04:45
7,JOE SKIPPER,GBR,00:50:53,04:15:41,02:54:15,08:05:54
8,ANDY POTTS,USA,00:49:33,04:18:51,02:56:27,08:09:34
9,CAMERON WURF,AUS,00:50:51,04:09:06,03:06:18,08:10:32
10,MICHAEL WEISS,AUT,00:54:14,04:11:27,03:00:02,08:11:04
11,JAVIER GOMEZ NOYA,ESP,00:47:46,04:19:44,02:59:24,08:11:41
12,TIM VAN BERKEL,AUS,00:50:39,04:27:47,02:50:36,08:13:47
13,ANDREAS DREITZ,DEU,00:50:56,04:15:17,03:02:50,08:14:02
14,RUEDI WILD,CHE,00:50:48,04:19:48,02:58:04,08:14:31
15,PHILIPP KOUTNY,CHE,00:50:39,04:19:58,03:00:17,08:15:58
16,MIKE PHILLIPS,NZL,00:50:45,04:25:04,02:57:35,08:17:54
17,JAMES CUNNAMA,ZAF,00:50:41,04:21:02,03:02:00,08:18:18
18,TIM REED,AUS,00:50:45,04:19:56,03:03:47,08:19:13
19,MAURICE CLAVEL,DEU,00:47:43,04:19:01,03:08:42,08:19:40
20,GIULIO MOLINARI,ITA,00:47:51,04:18:38,03:10:07,08:21:52
21,DAVID PLESE,SVN,00:54:02,04:12:27,03:11:28,08:23:33
22,CAMERON BROWN,NZL,00:54:16,04:28:56,02:55:34,08:25:30
23,KYLE BUCKINGHAM,ZAF,00:50:44,04:20:17,03:10:14,08:26:01
24,JAN VAN BERKEL,CHE,00:50:32,04:30:49,03:01:21,08:27:03
25,IVAN RANA,ESP,00:48:21,04:32:26,03:02:39,08:27:52
26,DENIS CHEVROT,FRA,00:47:41,04:37:58,02:59:03,08:29:56
27,LUKE MCKENZIE,AUS,00:50:46,04:27:26,03:07:29,08:30:32
28,LIONEL SANDERS,CAN,00:53:59,04:16:58,03:15:26,08:30:34
29,TYLER BUTTERFIELD,BMU,00:50:42,04:31:26,03:03:58,08:30:38
30,IGOR AMORELLI,BRA,00:47:54,04:18:33,03:22:48,08:34:21
