Pos,Nome,Categ,Swim,Bike,Run,Total
25,IGOR AMORELLI,PRO,00:51:00,04:41:26,03:15:47,08:52:37
3,ANTONIO FERREIRA DA SILVA NETO,35-39,00:56:43,04:59:12,03:06:04,09:06:53
5,KELMERSON HENRI BUCK,40-44,00:59:12,04:58:36,03:10:22,09:18:37
16,FRANCISCO SARTORE MENDES PEREZ,35-39,01:04:25,05:01:02,03:06:28,09:21:53
28,ARTHUR MARCONDES FERRAZ SILVA,35-39,00:56:40,05:07:19,03:19:35,09:28:51
22,BRUNO FREGOLENTE LAZORETTI,25-29,00:53:50,05:03:25,03:33:12,09:35:34
34,MARCELINO DE MIRANDA,30-34,00:59:10,05:08:31,03:20:21,09:35:49
29,JOSE GRACA,40-44,01:03:42,05:08:40,03:17:25,09:37:51
46,RANGEL RODRIGUES,35-39,01:10:57,05:13:48,03:10:57,09:41:38
48,RODRIGO LOBO,30-34,01:00:19,05:17:39,03:15:58,09:41:39
31,THIAGO BIANCHINI,25-29,01:00:49,05:16:58,03:19:45,09:43:35
64,LUCAS SILVA,30-34,01:09:37,05:06:37,03:22:57,09:45:46
68,SAMUEL SILVA,30-34,01:07:08,05:19:36,03:14:30,09:48:23
44,MARCO GIMENES,40-44,01:18:11,05:03:05,03:20:32,09:52:26
70,CESAR DALQUANO,35-39,01:01:59,05:14:45,03:27:24,09:53:06
80,EDUARDO JUREVICS DOS SANTOS MARCOLINO,30-34,01:00:55,05:14:05,03:33:02,09:54:33
74,VIRGILIO DE CASTILHO,35-39,00:56:49,05:13:15,03:35:26,09:55:58
99,LEONARDO PAZ,35-39,01:00:47,05:22:06,03:36:44,10:07:46
99,SANTIAGO MENDONÇA,30-34,01:07:03,05:40:43,03:13:29,10:08:17
44,NEWTON MOURA,45-49,01:01:29,05:20:23,03:42:02,10:10:53
49,ARNALDO LAPORTE JUNIOR,45-49,01:06:34,05:26:22,03:25:20,10:12:14
98,ANDRE KINA,40-44,01:01:07,05:25:48,03:34:48,10:12:33
112,RAFAEL GONCALVES,30-34,00:51:11,05:12:19,04:11:12,10:21:22
140,CASSIO DEBIASI,35-39,01:14:13,05:39:55,03:24:54,10:27:46
76,MARCELO BODANESE,25-29,01:06:41,05:19:42,04:03:01,10:38:24
12,ANA CRISTINA BOCCANERA,40-44,01:01:55,05:28:43,04:04:42,10:45:57
17,MARIANE UEHARA,30-34,01:08:52,06:04:31,03:26:26,10:46:43
126,BONIECK CLEMENTE,30-34,00:59:17,05:23:11,04:17:01,10:47:45
84,GUILHERME GARCIA CUNHA,25-29,01:03:55,05:17:59,04:20:51,10:49:57
115,MARCOS DA SILVEIRA,45-49,01:12:13,05:30:48,04:00:30,10:51:46
