Pos,Nome,Pais,Swim,Bike,Run,Total
1,EMMA PALLANT,GBR,00:26:53,02:44:22,01:23:13,04:40:16
2,NATALIE SEYMOUR,GBR,00:29:27,02:44:02,01:25:03,04:44:49
3,HANNAH DREWETT,GBR,00:25:02,02:51:30,01:37:53,05:01:11
4,SUZIE RICHARDS,GBR,00:29:28,02:48:22,01:38:39,05:03:22
5,DOLCA OLLE GATELL,ESP,00:26:52,02:53:14,01:39:54,05:06:59
