Pos,Nome,Categ,Swim,Bike,Run,Total
198,SANTIAGO MENDONÇA,35-39,01:01:27,05:38:53,04:36:46,11:24:46
50,ROSECLER OLIVEIRA AMORIM DA COSTA,35-39,01:07:00,05:47:45,04:25:25,11:26:43
44,RACHEL ALINE FROTA DE ACCIOLY SOUSA,25-29,01:26:46,05:55:56,04:19:16,11:50:47
224,CARLOS HENRIQUE FALCAO FREIRE,45-49,01:01:08,06:15:38,04:39:13,12:09:21
219,LEONARDO ARANHA,40-44,01:18:20,05:24:33,05:14:35,12:11:14
75,ANDREA DE PAULA JOVENTINO QUEIROZ,30-34,01:16:49,06:29:39,04:17:48,12:13:34
10,HEDLA LOPES,55-59,01:04:31,06:40:54,04:17:48,12:13:34
49,YANA GLASER,25-29,01:02:13,06:11:46,04:47:39,12:14:52
50,LUCA GLASER,25-29,00:58:43,06:26:04,04:42:39,12:14:52
227,GUILHERME VANNI,45-49,01:06:10,06:11:17,04:51:02,12:18:09
32,FERNANDA KELLER,50-54,01:07:04,06:32:47,04:31:32,12:21:40
80,MARIA CLAUDIA LYRA DE SOUZA,40-44,01:17:42,06:42:05,04:14:38,12:25:49
145,JOSE ROBERTO FERREIRA JORGE,50-54,01:02:49,06:33:47,04:36:07,12:27:01
81,HELAYNE SILVA,40-44,01:10:48,06:15:48,04:52:47,12:28:44
230,LUIS DAMATO,40-44,01:08:03,06:03:18,05:25:12,12:46:31
91,MARIANA PIZA,40-44,01:15:49,06:50:00,04:36:35,12:54:43
80,VANUZA MACIEL,45-49,01:14:55,06:48:05,04:48:11,13:04:09
8,MARISE NUNES,60-64,01:11:23,07:30:43,05:07:25,14:06:05
66,ANA SILVIA PALLER,50-54,01:18:24,07:06:55,05:55:06,14:40:45
13,BENEDITO MACHADO DA SILVA,70-74,01:52:17,07:35:05,05:43:01,15:32:05
