Pos,Nome,Categ,Swim,Bike,Run,Total
14,ARTHUR RUFFATO,35-39,00:34:13,02:32:01,01:35:23,04:51:17
7,MARIANA BORGES DE ANDRADE,PRO,00:30:48,02:37:30,01:40:17,04:51:37
15,HENRIQUE PINEDA,35-39,00:32:16,02:34:51,01:39:00,04:51:41
5,WANDER GLOVINSKY,45-49,00:28:25,02:31:20,01:46:34,04:51:57
16,ALEXANDRE FERREIRA,35-39,00:34:33,02:31:25,01:37:41,04:52:18
17,GUSTAVO EVANGELISTA,35-39,00:35:05,02:43:58,01:30:38,04:52:24
18,JOSE RICARDO RUELA RODRIGUES,35-39,00:33:33,02:37:22,01:39:51,04:52:25
19,DANIEL KAKO,35-39,00:32:23,02:33:33,01:40:53,04:53:02
3,ALEXANDRE CAMPOS,50-54,00:32:10,02:41:22,01:37:32,04:53:04
2,CARLOS DA VEIGA SICUPIRA NUNES FERREIRA,18-24,00:34:19,02:32:18,01:38:56,04:53:19
4,MARCO AURELIO SANTARLASCI,50-54,00:29:16,02:30:18,01:48:39,04:53:26
3,CARLOS AUGUSTO COSTA FERNANDES,18-24,00:33:49,02:35:44,01:38:38,04:53:30
20,RAFAEL NIRO TORQUATO ALVES,35-39,00:34:35,02:36:43,01:40:32,04:53:31
23,RICARDO CARRASCO RUBIO,30-34,00:28:47,02:40:01,01:42:51,04:53:34
21,FABIO MIRANDA,35-39,00:28:23,02:36:45,01:43:05,04:53:50
11,RAPHAEL HENRIQUES,25-29,00:30:40,02:33:50,01:43:56,04:54:00
24,EDSON GONCALVES RODRIGUES,30-34,00:39:00,02:36:10,01:33:11,04:54:07
14,LUCIANO FOCÁ,40-44,00:32:02,02:39:44,01:40:44,04:54:17
12,GEORGE CERQUEIRA,25-29,00:41:17,02:26:47,01:40:03,04:54:21
Pos,Nome,Categ,Swim,Bike,Run,Total
15,GIOVANNI ZEM,40-44,00:40:00,02:31:30,01:41:20,04:54:38
22,GILBERTO F DE SAMPAIO JR.,35-39,00:28:44,02:36:12,01:43:13,04:54:42
23,ANDRÉ LUIZ SEREJO GONÇALVES,35-39,00:33:23,02:36:12,01:34:59,04:54:55
24,ANDERSON COSTA,35-39,00:34:31,02:37:21,01:38:03,04:54:58
25,JADSON ANDRADE,30-34,00:32:43,02:33:36,01:43:27,04:56:04
26,VICTOR GREY,30-34,00:28:04,02:39:34,01:40:14,04:56:30
25,ANDRE MEIRELES,35-39,00:33:38,02:31:34,01:41:59,04:56:30
1,MARIA EDUARDA DE ARRUDA FALCÃO VASCONCELLOS,30-34,00:30:14,02:46:40,01:35:01,04:56:52
27,PEDRO MAIA,30-34,00:31:39,02:39:38,01:43:25,04:57:02
13,RAFAEL TREVIZAN,25-29,00:33:16,02:32:08,01:50:13,04:57:15
6,FERNANDO GONZALEZ GIL,50-54,00:34:17,02:45:22,01:35:25,04:57:35
28,BERNARDO ABDU,30-34,00:31:33,02:44:50,01:39:39,04:57:49
28,GELSON LUIZ PIERRE JUNIOR,35-39,00:33:51,02:38:59,01:43:31,04:58:09
6,CLAUDIO ROBERTO FERREIRA PINTO,45-49,00:34:36,02:45:14,01:37:16,04:58:18
16,ELISSON SAYAGO DIAS,40-44,00:35:07,02:43:47,01:37:22,04:58:23
17,DANIEL LIMA,40-44,00:39:44,02:38:13,01:32:58,04:58:27
29,JOSE GONCALVES,30-34,00:35:30,02:36:39,01:41:44,04:58:31
5,GUILHERME GRISI,18-24,00:30:34,02:47:39,01:37:43,04:58:41
2,NATÁLIA SOBRAL,30-34,00:33:30,02:46:11,01:35:48,04:58:54
29,MARCELO DE OLIVEIRA,35-39,00:33:10,02:27:55,01:51:58,04:58:55
30,BRENO SOARES TIBURCIO,30-34,00:35:15,02:36:49,01:42:07,04:59:06
18,MAURICIO ANTONELLI LEHOCZKI,40-44,00:37:01,02:41:41,01:34:28,04:59:24
7,ROBERTO FERREIRA DIAS FILHO,45-49,00:32:58,02:36:52,01:43:48,04:59:31
31,RENATO DEFANTI,30-34,00:33:45,02:41:40,01:40:01,04:59:33
30,RODRIGO CELETE,35-39,00:33:18,02:31:28,01:48:15,04:59:37
31,ANDRE APOLLONIO,35-39,00:30:43,02:36:26,01:46:12,04:59:39
3,FLÁVIA MEYER,30-34,00:34:23,02:40:28,01:40:26,04:59:43
32,RODRIGO ROLIM DUARTE,35-39,00:33:27,02:31:12,01:48:55,04:59:49
19,SERGIO NORDSKOG DUARTE,40-44,00:35:38,02:37:48,01:40:37,04:59:50
8,JOAO QUIALHEIRO,45-49,00:30:55,02:44:51,01:41:48,05:00:12
Pos,Nome,Categ,Swim,Bike,Run,Total
14,JOÃO LUCAS BRAZ,25-29,00:33:55,02:47:15,01:30:05,05:00:16
32,HUMBERTO RIBEIRO JUNIOR,30-34,00:35:14,02:41:51,01:37:15,05:00:20
33,FELIPE MAURICIO FRANCO,35-39,00:33:10,02:40:46,01:39:29,05:00:32
34,CARLOS ALBERTO CORDELLA JUNIOR,35-39,00:31:11,02:31:55,01:53:04,05:00:42
21,SANDRO TABOSA,40-44,00:37:11,02:38:04,01:39:54,05:00:42
15,MAURÍCIO SAMPAIO,25-29,00:40:12,02:38:05,01:39:06,05:01:05
35,GUSTAVO COSTA,35-39,00:29:04,02:33:40,01:53:37,05:01:14
36,WAGNER CUNHA WEBER,35-39,00:28:54,02:37:29,01:50:41,05:01:20
33,GUSTAVO FEITOSA,30-34,00:33:47,02:33:35,01:52:08,05:01:26
34,CAIRO DONATTI,30-34,00:34:17,02:43:44,01:38:08,05:01:43
37,LUIZ FERNANDO  PEDROSO,35-39,00:34:13,02:40:13,01:44:58,05:01:45
16,HUDSON ROCHA AFONSO,25-29,00:39:30,02:40:11,01:40:32,05:01:52
24,FABIO HILLAL,40-44,00:34:32,02:42:37,01:38:58,05:02:03
25,ANDERSON NAVI,40-44,00:34:58,02:38:33,01:44:28,05:02:20
35,CHRISTIAN TAGUCHI,30-34,00:36:25,02:32:55,01:46:21,05:02:21
38,ADRIANO GODOI,35-39,00:42:36,02:30:47,01:43:24,05:02:23
36,EMMERSON CARDOSO,30-34,00:36:15,02:41:55,01:39:47,05:02:52
6,RAFAEL PASSOS,18-24,00:32:41,02:45:34,01:43:08,05:03:09
40,MAX DO VALE COSTA,35-39,00:32:57,02:34:37,01:49:57,05:03:21
37,MARCEL GUERRA,30-34,00:33:54,02:36:08,01:48:09,05:03:42
41,LUIZ SIQUEIRA,35-39,00:31:56,02:42:56,01:42:33,05:03:44
7,JOÃO FELIPE WÖLLNER,18-24,00:33:28,02:36:41,01:52:32,05:04:00
26,CARLOS EDUARDO DIAS PEREIRA,40-44,00:36:46,02:49:46,01:34:53,05:04:09
17,RAFAEL SAMPAIO,25-29,00:34:38,02:38:10,01:43:03,05:04:12
27,FABIANO GODOIS,40-44,00:37:27,02:36:55,01:42:20,05:04:22
9,MAURO ROBERTO GIORCHINO,45-49,00:29:10,02:49:34,01:43:14,05:04:25
42,ROGERIO PEREIRA,35-39,00:38:54,02:32:51,01:45:20,05:04:33
28,GUILHERME GONCALVES,40-44,00:30:18,02:43:06,01:46:30,05:04:39
