Pos,Nome,Pais,Swim,Bike,Run,Total
1,KIRILL KOTSEGAROV,EST,00:44:51,04:27:37,02:50:53,08:08:32
2,MATT CHRABOT,USA,00:40:56,04:31:19,02:51:05,08:08:34
3,STEFAN SCHMID,DEU,00:44:25,04:27:31,02:51:05,08:08:40
4,ERIC LIMKEMANN,USA,00:40:52,04:29:51,02:57:41,08:12:59
5,ESBEN HOVGAARD,DNK,00:44:54,04:31:57,02:54:03,08:15:56
6,TREVOR WURTELE,CAN,00:44:38,04:31:48,02:56:29,08:18:06
7,MATT RUSSELL,USA,00:48:55,04:33:42,02:51:45,08:20:37
8,DARBY THOMAS,FIN,00:49:09,04:34:24,02:53:32,08:21:44
9,TJ TOLLAKSON,USA,00:42:46,04:29:39,03:04:24,08:21:48
10,THOMAS GERLACH,USA,00:44:40,04:32:04,03:00:33,08:21:54
11,KARL-JOHAN DANIELSSON,SWE,00:44:16,04:27:48,03:09:03,08:26:42
12,SCOTT DEFILIPPIS,USA,00:48:03,04:46:33,02:49:08,08:28:50
13,BENJAMIN COLLINS,USA,00:42:25,04:38:24,03:03:05,08:29:51
14,BALAZS CSOKE,HUN,00:40:48,04:45:37,03:06:29,08:38:00
15,MIKE SCHIFFERLE,CHE,00:49:16,04:38:28,03:02:22,08:38:20
16,RAYMOND BOTELHO,USA,00:45:14,04:35:42,03:20:04,08:47:08
17,TODD ISRAEL,AUS,00:44:19,04:53:22,03:05:11,08:48:40
18,MATTHEW CURBEAU,USA,00:46:28,04:39:11,03:16:37,08:49:08
19,JOZSEF MAJOR,HUN,00:49:00,04:38:47,03:15:41,08:49:24
20,GREG CLOSE,USA,00:49:04,04:50:32,03:04:56,08:49:43
21,CHAD HOLDERBAUM,USA,00:44:51,04:43:41,03:16:14,08:50:00
22,NATHAN BUTTRICK,USA,00:49:17,04:43:14,03:16:19,08:54:32
23,DOUG MACLEAN,USA,00:48:05,05:00:39,03:00:15,08:54:59
24,MICHAEL STARKEY,USA,00:49:53,04:52:54,03:07:06,08:55:16
25,COLIN LAUGHERY,USA,00:48:56,04:53:17,03:08:53,08:57:17
26,SCOTT BRADLEY,USA,00:51:52,04:47:36,03:17:52,09:02:31
27,RYAN RAU,USA,00:49:12,04:58:52,03:18:13,09:12:56
28,PATRICK SCHUSTER,USA,00:51:35,04:54:21,03:22:35,09:14:27
29,JIM LUBINSKI,USA,00:55:40,04:50:24,03:22:43,09:15:02
30,PETER KOTLAND,CZE,00:49:18,04:53:04,03:30:18,09:18:38
